Data,Visualizações
2020-05-08,312
2020-05-09,110
2020-05-21,203
2020-06-07,73
2020-06-12,76
2020-06-14,209
2020-07-25,49
2020-10-04,52
2020-10-05,70
2020-11-04,247
2020-11-05,69
2020-11-11,152
2020-11-12,71
2020-11-27,139
2020-12-09,87
2020-12-13,1804
2020-12-14,661
2020-12-15,180
2020-12-16,137
2020-12-17,87
2020-12-18,65
2020-12-19,59
2020-12-20,65
2020-12-23,56
2021-01-09,53
2021-01-21,89
2021-01-22,69
2021-01-31,56
2021-02-09,55
2021-02-19,57
2021-03-02,89
2021-03-09,74
2021-04-12,58
2021-04-17,75
2021-04-18,65
2021-04-19,49
2021-04-21,55
2021-04-22,63
2021-04-23,49
2021-04-26,71
2021-04-27,123
2021-04-28,122
2021-04-29,228
2021-04-30,92
2021-05-01,62
2021-05-03,72
2021-05-04,114
2021-05-05,87
2021-05-06,61
2021-05-08,72
2021-05-09,52
2021-05-11,54
2021-05-19,55
2021-05-26,64
2021-05-31,71
2021-06-02,61
2021-06-08,75
2021-06-11,68
2021-06-16,60
2021-06-17,50
2021-06-18,57
2021-06-19,62
2021-06-20,54
2021-06-21,60
2021-06-22,72
2021-06-23,61
2021-06-24,50
2021-06-29,71
2021-06-30,65
2021-07-01,54
2021-07-04,61
2021-07-05,94
2021-07-14,59
2021-07-20,50
2021-07-21,58
2021-07-26,132
2021-07-27,64
2021-07-31,52
2021-08-02,76
2021-08-03,72
2021-08-04,81
2021-08-05,69
2021-08-06,57
2021-08-08,80
2021-08-09,88
2021-08-10,86
2021-08-11,73
2021-08-12,58
2021-08-13,62
2021-08-14,83
2021-08-15,58
2021-08-16,77
2021-08-18,61
2021-08-24,53
2021-08-26,80
2021-08-27,58
2021-08-28,52
2021-08-30,108
2021-08-31,66
2021-09-06,54
2021-09-14,53
2021-09-17,52
2021-09-22,56
2021-09-24,51
2021-09-27,50
2021-09-28,51
2021-09-29,60
2021-10-03,70
2021-10-04,71
2021-10-05,100
2021-10-06,58
2021-10-07,81
2021-10-08,62
2021-10-09,65
2021-10-11,72
2021-10-12,53
2021-10-13,51
2021-10-14,50
2021-10-20,52
2021-10-21,56
2021-10-22,61
2021-10-26,51
2021-10-27,61
2021-11-02,54
2021-11-03,64
2021-11-04,51
2021-11-05,54
2021-11-08,54
2021-11-09,53
2021-11-10,62
2021-11-11,64
2021-11-15,53
2021-11-17,52
2021-11-18,61
2021-11-22,63
2021-11-26,58
2021-11-29,65
2021-11-30,60
2021-12-08,60
2021-12-09,58
2021-12-13,64
2021-12-14,54
2021-12-15,53
2021-12-21,50
2021-12-27,63
2022-01-03,55
2022-01-04,59
2022-01-05,53
2022-01-08,67
2022-01-10,63
2022-01-11,115
2022-01-12,79
2022-01-13,58
2022-01-14,50
2022-01-15,62
2022-01-16,60
2022-01-17,59
2022-01-18,56
2022-01-19,57
2022-01-20,51
2022-01-21,54
2022-01-24,76
2022-01-26,68
2022-01-31,56
2022-02-01,54
2022-02-02,65
2022-02-03,74
2022-02-07,54
2022-02-08,57
2022-02-09,60
2022-02-10,64
2022-02-12,70
2022-02-14,71
2022-02-17,71
2022-02-18,63
2022-02-21,67
2022-02-22,89
2022-02-23,51
2022-02-24,69
2022-02-25,52
2022-03-01,60
2022-03-02,58
2022-03-03,75
2022-03-04,64
2022-03-05,142
2022-03-06,70
2022-03-07,109
2022-03-08,116
2022-03-09,106
2022-03-10,85
2022-03-11,107
2022-03-12,86
2022-03-14,69
2022-03-15,99
2022-03-16,106
2022-03-17,74
2022-03-19,65
2022-03-20,74
2022-03-21,62
2022-03-22,60
2022-03-23,72
2022-03-24,67
2022-03-25,55
2022-03-26,58
2022-03-27,59
2022-03-28,77
2022-03-29,84
2022-03-30,64
2022-03-31,72
2022-04-01,66
2022-04-03,51
2022-04-04,74
2022-04-05,62
2022-04-06,64
2022-04-07,71
2022-04-08,59
2022-04-09,57
2022-04-11,59
2022-04-12,70
2022-04-13,72
2022-04-14,54
2022-04-15,56
2022-04-16,57
2022-04-17,52
2022-04-18,79
2022-04-19,55
2022-04-20,67
2022-04-21,54
2022-04-22,66
2022-04-23,70
2022-04-24,56
2022-04-25,84
2022-04-26,121
2022-04-27,84
2022-04-28,85
2022-04-29,121
2022-04-30,77
2022-05-01,65
2022-05-02,99
2022-05-03,108
2022-05-04,105
2022-05-05,50
2022-05-06,97
2022-05-07,79
2022-05-08,92
2022-05-09,88
2022-05-10,95
2022-05-11,106
2022-05-12,88
2022-05-13,71
2022-05-14,58
2022-05-15,54
2022-05-16,75
2022-05-17,76
2022-05-18,89
2022-05-19,54
2022-05-21,59
2022-05-23,81
2022-05-24,61
2022-05-25,61
2022-05-26,61
2022-05-28,63
2022-05-29,75
2022-05-30,68
2022-05-31,88
2022-06-02,56
2022-06-03,60
2022-06-06,90
2022-06-08,68
2022-06-09,59
2022-06-12,59
2022-06-13,79
2022-06-14,65
2022-06-15,65
2022-06-16,53
2022-06-17,73
2022-06-19,58
2022-06-20,91
2022-06-21,67
2022-06-22,51
2022-06-23,56
2022-06-24,62
2022-06-27,75
2022-06-28,66
2022-06-29,74
2022-06-30,78
2022-07-02,54
2022-07-04,59
2022-07-05,75
2022-07-06,65
2022-07-07,57
2022-07-08,64
2022-07-09,50
2022-07-10,56
2022-07-11,67
2022-07-12,68
2022-07-14,54
2022-07-15,53
2022-07-16,56
2022-07-18,62
2022-07-19,78
2022-07-20,70
2022-07-21,81
2022-07-22,71
2022-07-23,66
2022-07-24,60
2022-07-25,135
2022-07-26,168
2022-07-27,153
2022-07-28,91
2022-07-29,90
2022-07-30,98
2022-07-31,57
2022-08-01,87
2022-08-02,71
2022-08-03,68
2022-08-04,87
2022-08-05,60
2022-08-06,51
2022-08-07,71
2022-08-08,93
2022-08-09,95
2022-08-10,73
2022-08-11,79
2022-08-13,55
2022-08-14,56
2022-08-15,55
2022-08-16,67
2022-08-17,77
2022-08-18,50
2022-08-19,67
2022-08-21,55
2022-08-22,100
2022-08-23,84
2022-08-24,51
2022-08-25,56
2022-08-26,57
2022-08-27,50
2022-08-28,55
2022-08-29,120
2022-08-30,82
2022-08-31,87
2022-09-01,64
2022-09-02,61
2022-09-04,72
2022-09-05,56
2022-09-06,57
2022-09-07,64
2022-09-08,81
2022-09-09,86
2022-09-12,95
2022-09-13,61
2022-09-14,86
2022-09-15,419
2022-09-16,547
2022-09-17,291
2022-09-18,189
2022-09-19,240
2022-09-20,227
2022-09-21,174
2022-09-22,184
2022-09-23,176
2022-09-24,177
2022-09-25,234
2022-09-26,148
2022-09-27,122
2022-09-28,196
2022-09-29,129
2022-09-30,132
2022-10-01,94
2022-10-02,188
2022-10-03,158
2022-10-04,157
2022-10-05,128
2022-10-06,168
2022-10-07,180
2022-10-08,198
2022-10-09,189
2022-10-10,139
2022-10-11,105
2022-10-12,118
2022-10-13,118
2022-10-14,143
2022-10-15,156
2022-10-16,154
2022-10-17,100
2022-10-18,120
2022-10-19,132
2022-10-20,83
2022-10-21,151
2022-10-22,117
2022-10-23,176
2022-10-24,127
2022-10-25,120
2022-10-26,124
2022-10-27,113
2022-10-28,143
2022-10-29,137
2022-10-30,126
2022-10-31,125
2022-11-01,95
2022-11-02,128
2022-11-03,120
2022-11-04,150
2022-11-05,167
2022-11-06,133
2022-11-07,114
2022-11-08,121
2022-11-09,91
2022-11-10,88
2022-11-11,108
2022-11-12,106
2022-11-13,128
2022-11-14,89
2022-11-15,76
2022-11-16,80
2022-11-17,70
2022-11-18,93
2022-11-19,98
2022-11-20,113
2022-11-21,59
2022-11-22,74
2022-11-23,73
2022-11-24,57
2022-11-25,63
2022-11-27,77
2022-11-28,83
2022-11-29,85
2022-11-30,57
2022-12-01,50
2022-12-04,62
2022-12-07,71
2022-12-08,54
2022-12-12,64
2022-12-13,57
2022-12-15,51
2022-12-20,70
2022-12-21,53
2022-12-23,57
2022-12-26,64
2022-12-28,56
2022-12-29,64
2023-01-02,63
2023-01-03,63
2023-01-04,81
2023-01-05,73
2023-01-06,78
2023-01-07,62
2023-01-08,61
2023-01-09,80
2023-01-10,123
2023-01-11,142
2023-01-12,95
2023-01-13,94
2023-01-14,81
2023-01-15,112
2023-01-16,114
2023-01-17,103
2023-01-18,77
2023-01-19,88
2023-01-20,67
2023-01-21,56
2023-01-23,104
2023-01-24,78
2023-01-25,80
2023-01-26,143
2023-01-27,117
2023-01-28,73
2023-01-29,62
2023-01-30,85
2023-01-31,79
2023-02-01,58
2023-02-02,54
2023-02-03,98
2023-02-04,54
2023-02-05,59
2023-02-06,118
2023-02-07,88
2023-02-08,73
2023-02-09,80
2023-02-10,73
2023-02-11,79
2023-02-12,84
2023-02-13,70
2023-02-14,73
2023-02-15,67
2023-02-16,70
2023-02-17,74
2023-02-18,64
2023-02-19,65
2023-02-20,67
2023-02-22,95
2023-02-23,100
2023-02-24,177
2023-02-25,196
2023-02-26,103
2023-02-27,109
2023-02-28,84
2023-03-01,491
2023-03-02,134
,
Total,59504
