,shortcode,caption,likes,comments,timestamp,owner_username,owner_id,video_view_count,is_video,location,caption_hashtags,caption_mentions
0,CovPn7KOSSU,"Fala, devs, blz? 📢✨

Sabia que saber programar é uma habilidade cada vez mais importante nos dias de hoje? 💭 A programação está presente em diversas áreas e pode nos trazer muitos benefícios, sejam eles acadêmicos, profissionais ou pessoais. 👨‍💻

👉 É com esse pensamento que surge o FEA.dev. Somos a primeira entidade estudantil de programação da FEA-USP e temos a missão de unir o mundo dos negócios com o universo da programação 🤝. Dessa forma, buscamos desenvolver nossos membros, compartilhar conhecimento e garantir o funcionamento da entidade atuando a partir de áreas administrativas e grupos de estudo.

Curtiu? Então, confira mais detalhes sobre a entidade no nosso post e nos acompanhe em outras redes sociais também. Junte-se a nós e venha aprender e crescer conosco! 🚀👨‍🎓👩‍🎓 
.
.
#FEAdev #USP #programação #tecnologia #negócios #python #computação",83,11,2023-02-16 21:22:04,fea.dev,32518466002,,False,,"['feadev', 'usp', 'programação', 'tecnologia', 'negócios', 'python', 'computação']",[]
1,CpI-sE9DvB5,"Fala, devs, beleza? 📢✨

A partir do dia 8 de março, as inscrições para o processo seletivo 2023.1 serão abertas! Venha conhecer um pouco mais sobre a entidade e como participar dela! 💛🖤

Qualquer dúvida é só escrever nos comentários ou nos mandar na dm 📝
.
.
.
.
#feadev #feausp #usp #programacao #python #computacao",31,7,2023-02-26 21:15:51,fea.dev,32518466002,282.0,True,,"['feadev', 'feausp', 'usp', 'programacao', 'python', 'computacao']",[]
2,Co-rANBjTDC,"Fala, devs, beleza?! 📢✨

Hoje, seguindo no nosso quarto Dev.reels, vamos falar sobre a biblioteca NBAFLOW e suas possibilidades!! Nosso querido @maxjuan_mj veio introduzir e apresentar como funciona na prática essa biblioteca que ganhou tanta repercussão após LeBron James quebrar mais um recorde!!

Quer ver mais vídeos como esse? 
Não se esqueça de curtir, comentar e compartilhar!!! 

Manda esse vídeo pra aquele seu amigo que ama basquete 🏀

#feadev #usp #programação #programador #tecnologia #desenvolvedor #computação #python #nba #nbabrasil",94,17,2023-02-22 21:12:16,fea.dev,32518466002,707.0,True,,"['feadev', 'usp', 'programação', 'programador', 'tecnologia', 'desenvolvedor', 'computação', 'python', 'nba', 'nbabrasil']",['maxjuan_mj']
3,CoiT-JdDwEH,"Fala, devs, blz?✨📢

Em nosso terceiro post do Dev.reels, a @kaka_artilha, que é do grupo de estudos The Office, vai mostrar os 5 melhores atalhos do Excel.

Curtam o vídeo, compartilhem com o amigo e bora aprender!💛🖤💛

#feadev #usp #programação #programador #desenvolvedor #excel #tecnologia #computação  #atalhos #planilha #atalhosexcel #fea #atalho #atalhosdoexcel #shortcut",69,12,2023-02-11 20:51:35,fea.dev,32518466002,537.0,True,,"['feadev', 'usp', 'programação', 'programador', 'desenvolvedor', 'excel', 'tecnologia', 'computação', 'atalhos', 'planilha', 'atalhosexcel', 'fea', 'atalho', 'atalhosdoexcel', 'shortcut']",['kaka_artilha']
4,Cofx-01OciR,"Fala, devs, blz?✨📢

Depois de semanas de curso de Python 🐍, projetinhos e entrevistas, é com muito orgulho que apresentamos a vocês os novos membros 🥺 da @fea.dev 💛🖤

👉 Dev bixos, estamos muitos ansiosos para ver vocês aprendendo junto com a entidade! Sejam muito bem-vindos!!! ✨

Agradecemos a todos que concluíram o curso de Python e participaram do processo seletivo!!! Fiquem ligados que daqui a pouco tem mais 👀",107,13,2023-02-10 21:14:26,fea.dev,32518466002,,False,,[],['fea.dev']
5,CoIlAQgOiPq,"🏛️ Gestão FEA.dev 2023.1🏛️

Apresentamos a vocês a nova gestão!! A dedicação e vontade de fazer acontecer é nítida em suas propostas, sempre com o objetivo de difundir ainda mais o conhecimento de programação 

A passagem de bastão foi feita nesse sábado, dia 28.01.2023, no espaço do Cosmos, no prédio InovaUsp e foi super emocionante!🥹💛🖤

Desejamos boa sorte aos novos diretores e que venha mais um semestre lindo para o FEA.dev 💛🖤✨",134,16,2023-02-01 20:58:30,fea.dev,32518466002,,False,,[],[]
6,Cn0FfxtjgCG,"Fala, devs, blz?📢✨

Dando continuidade à retrospectiva do Curso de Python de 2022, alguns alunos disponibilizaram os seus relatos sobre o curso.

Além dos vídeos, diversos alunos enviaram relatos de forma anônima, nos quais declaravam como o conhecimento em python adquirido no curso foi um fator diferencial no âmbito acadêmico e profissional.💛🖤💛",36,11,2023-01-24 21:58:55,fea.dev,32518466002,326.0,True,,[],[]
7,Cnxby0zuwXm,"Fala, devs, blz?📢✨

Chegou ao fim o nosso Curso de Python de 2022, e com isso, fizemos essa retrospectiva para prestigiar esse projeto maravilhoso.

Ele que foi aberto para toda a USP, contou com mais de 1000 inscritos dos mais variados institutos e cursos. 

Tivemos também a aula magna presencial, realizada no dia 15.09.2022 que foi o maior evento da história do Fea.dev, com mais de 200 pessoas no auditório.

Além dessas conquistas, conseguimos bons números nas nossas redes sociais, como no Instagram e YouTube.

Assim, somos muito gratos em poder contribuir para os alunos da USP como um todo, tentando disseminar o conhecimento em programação.💛🖤💛🖤

#python #feadev #dev #cursodepython",170,6,2023-01-23 21:15:30,fea.dev,32518466002,,False,,"['python', 'feadev', 'dev', 'cursodepython']",[]
8,CnDHZo4hIwR,"Fala, devs, blz?✨📢

Em nosso segundo post do Dev.reels, vamos falar do famoso Excel, a @kaka_artilha vai mostrar o porquê que é melhor nós usarmos o índicecorresp do que o Procv.

Curta o vídeo, compartilhe com o amigo e bora aprender!💛🖤💛

#feadev #usp #programação #programador #desenvolvedor #excel #tecnologia #computação  #procv #indicecorresp #indice #corresp #planilha",111,15,2023-01-05 21:33:06,fea.dev,32518466002,1380.0,True,,"['feadev', 'usp', 'programação', 'programador', 'desenvolvedor', 'excel', 'tecnologia', 'computação', 'procv', 'indicecorresp', 'indice', 'corresp', 'planilha']",['kaka_artilha']
9,CmCyxANDfIo,"Fala, devs, blz?✨📢

Em nosso primeiro post do Dev.reels, a @kaka_artilha vai mostrar como extrair dados de fundos imobiliários com Python.

Curta o vídeo, compartilhe com o amigo e bora aprender!💛🖤💛

#feadev #usp #programação #programador #desenvolvedor #logicadeprogramacao #tecnologia #computação  #python #requests",140,17,2022-12-11 22:02:41,fea.dev,32518466002,1374.0,True,,"['feadev', 'usp', 'programação', 'programador', 'desenvolvedor', 'logicadeprogramacao', 'tecnologia', 'computação', 'python', 'requests']",['kaka_artilha']
